"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","test"
"81",7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6,FALSE
"82",7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,5,FALSE
"83",7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,FALSE
"84",5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10,6,FALSE
"85",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,FALSE
"86",6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3,FALSE
"87",6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7,FALSE
"88",5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5,FALSE
"89",7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8,FALSE
"90",7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7,FALSE
"91",7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,FALSE
"92",6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,FALSE
"93",6.2,0.3,0.42,2.2,0.036,28,128,0.9901,3.13,0.38,11.6,6,FALSE
"94",6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,5,FALSE
"95",6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5,FALSE
"96",8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6,FALSE
"97",5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6,FALSE
"98",6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,FALSE
"99",5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,FALSE
"100",7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,7,FALSE
"101",6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6,FALSE
"102",6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,FALSE
"103",6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6,FALSE
"104",6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,FALSE
"105",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6,FALSE
"106",7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,5,FALSE
"107",6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,5,FALSE
"108",6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6,FALSE
"109",5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5,FALSE
"110",4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,FALSE
"111",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,FALSE
"112",6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,FALSE
"113",8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5,FALSE
"114",5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5,FALSE
"115",5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,FALSE
"116",7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5,FALSE
"117",6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,FALSE
"118",6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5,FALSE
"119",6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6,FALSE
"120",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,FALSE
"121",6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.53333333333333,6,FALSE
"122",7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,FALSE
"123",5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,FALSE
"124",8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5,FALSE
"125",7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6,FALSE
"126",7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,FALSE
"127",7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5,FALSE
"128",7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,8,FALSE
"129",7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,FALSE
"130",5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6,FALSE
"131",7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,6,FALSE
"132",7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,FALSE
"133",6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,8,FALSE
"134",8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6,FALSE
"135",6.6,0.32,0.41,7.2,0.048,55,178,0.99537,3.2,0.46,9.4,5,FALSE
"136",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,FALSE
"137",7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6,FALSE
"138",6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7,FALSE
"139",7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,FALSE
"140",6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,FALSE
"141",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,FALSE
"142",7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,FALSE
"143",5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5,FALSE
"144",6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,FALSE
"145",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5,FALSE
"146",6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6,FALSE
"147",7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,7,FALSE
"148",7.5,0.21,0.32,4.8,0.056,39,113,0.99393,3.11,0.52,10.2,7,FALSE
"149",6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5,FALSE
"150",7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,7,FALSE
"151",7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5,FALSE
"152",8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6,FALSE
"153",7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5,FALSE
"154",6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6,FALSE
"155",7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6,FALSE
"156",7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5,FALSE
"157",7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,FALSE
"158",6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,7,FALSE
"159",6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8,FALSE
"160",7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5,FALSE
"161",6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6,FALSE
"162",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,FALSE
"163",7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7,FALSE
"164",5.8,0.15,0.32,1.2,0.037,14,119,0.99137,3.19,0.5,10.2,6,FALSE
"165",5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,6,FALSE
"166",7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6,FALSE
"167",6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5,FALSE
"168",8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4,FALSE
"169",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,FALSE
"170",7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5,FALSE
"171",7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6,FALSE
"172",6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6,FALSE
"173",6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6,FALSE
"174",5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,FALSE
"175",6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,6,FALSE
"176",7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5,FALSE
"177",7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6,FALSE
"178",6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7,FALSE
"179",6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5,FALSE
"180",7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,FALSE
"181",7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,FALSE
"182",7.7,0.26,0.51,2.6,0.045,26,159,0.99126,3,0.5,11.2,6,FALSE
"183",7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,6,FALSE
"184",6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6,FALSE
"185",6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4,FALSE
"186",5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6,FALSE
"187",7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6,FALSE
"188",6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6,FALSE
"189",6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,7,FALSE
"190",7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8,FALSE
"191",6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,5,FALSE
"192",7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,FALSE
"193",7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4,FALSE
"194",5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,7,FALSE
"195",7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,5,FALSE
"196",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,FALSE
"197",5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6,FALSE
"198",6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,FALSE
"199",6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6,FALSE
"200",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,FALSE
"201",6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6,FALSE
"202",5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,FALSE
"203",5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6,FALSE
"204",4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667,5,FALSE
"205",6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5,FALSE
"206",7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,FALSE
"207",8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,FALSE
"208",6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,FALSE
"209",6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8,FALSE
"210",6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6,FALSE
"211",6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,5,FALSE
"212",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,FALSE
"213",7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,5,FALSE
"214",5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5,FALSE
"215",7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6,FALSE
"216",6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6,FALSE
"217",6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,6,FALSE
"218",7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7,FALSE
"219",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,FALSE
"220",6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,FALSE
"221",6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,FALSE
"222",6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,6,FALSE
"223",6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,6,FALSE
"224",8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6,FALSE
"225",6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,FALSE
"226",5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7,FALSE
"227",6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,FALSE
"228",7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7,FALSE
"229",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,FALSE
"230",5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,6,FALSE
"231",6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,FALSE
"232",6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,5,FALSE
"233",6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,FALSE
"234",5.7,0.41,0.21,1.9,0.048,30,112,0.99138,3.29,0.55,11.2,6,FALSE
"235",8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,FALSE
"236",8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6,FALSE
"237",7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5,FALSE
"238",6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5,FALSE
"239",7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,FALSE
"240",5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7,FALSE
"241",6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,6,FALSE
"242",7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6,FALSE
"243",6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,FALSE
"244",5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6,FALSE
"245",6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5,FALSE
"246",6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,FALSE
"247",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,FALSE
"248",5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7,FALSE
"249",6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6,FALSE
"250",7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,6,FALSE
"251",5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6,FALSE
"252",7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6,FALSE
"253",6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,5,FALSE
"254",6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4,5,FALSE
"255",8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6,FALSE
"256",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,FALSE
"257",6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5,FALSE
"258",6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7,FALSE
"259",5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8,FALSE
"260",7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,FALSE
"261",7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6,FALSE
"262",6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,FALSE
"263",7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5,FALSE
"264",7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5,FALSE
"265",5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6,FALSE
"266",6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,FALSE
"267",6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6,FALSE
"268",6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5,FALSE
"269",6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,FALSE
"270",7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,7,FALSE
"271",6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5,FALSE
"272",5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,FALSE
"273",6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,7,FALSE
"274",7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6,FALSE
